origin,destination,transfer_count,avg_success_delta
Notre Dame,California,4,-0.024499999999999994
Notre Dame,Syracuse,3,0.115
Notre Dame,UCLA,5,-0.121275
Ohio,Charlotte,5,-0.35900000000000004
Ohio State,Cincinnati,5,-0.016039999999999995
Ohio State,Colorado,3,-0.014099999999999994
Ohio State,Kentucky,4,0.03166666666666667
Ohio State,LSU,3,-0.03166666666666667
Ohio State,Texas,3,0.4288
Oklahoma,Houston,3,-0.22960000000000003
Oklahoma,Memphis,3,-0.07250000000000001
Oklahoma,Missouri,3,0.04459999999999997
Oklahoma,Oklahoma,4,0.013333333333333334
Oklahoma,SMU,6,0.23570000000000008
Oklahoma,South Carolina,4,0.05243333333333331
Oklahoma,Texas State,5,-0.055299999999999995
Oklahoma,UCF,3,-0.08666666666666667
Oklahoma,USC,3,0.07339999999999998
Oklahoma,Utah,3,-0.22480000000000003
Oklahoma,Washington,3,-0.17
Oklahoma State,Ole Miss,3,-0.5730000000000001
Oklahoma State,Tulsa,5,0.09648
Old Dominion,Indiana,3,-0.4892
Old Dominion,Memphis,3,-0.7148
Ole Miss,Arkansas State,4,-0.3749
Ole Miss,Colorado,3,0.0
Ole Miss,Houston,3,0.2575
Ole Miss,Indiana,4,-0.181875
Ole Miss,Ohio State,3,-0.03040000000000002
Ole Miss,Ole Miss,5,-0.30618
Ole Miss,Oregon,3,-0.2976333333333334
Ole Miss,South Alabama,4,0.27285000000000004
Ole Miss,Southern Miss,11,0.021772727272727277
Oregon,Arizona State,3,-0.125
Oregon,Baylor,3,0.07916666666666665
Oregon,Miami,3,0.11393333333333333
Oregon,Nevada,8,-0.040528571428571435
Oregon,UCLA,6,0.08646000000000001
Oregon,UNLV,3,0.05780000000000001
Oregon State,Idaho,3,0.05000000000000001
Oregon State,Michigan State,4,-0.0028750000000000303
Penn State,Akron,3,0.11280000000000001
Pennsylvania,Duke,3,0.0
Pittsburgh,Akron,3,-0.028099999999999997
Pittsburgh,South Carolina,3,-0.3466666666666667
Pittsburgh,UNLV,3,-0.2962000000000001
Purdue,Arizona State,5,-0.172
Purdue,Ball State,5,-0.06970000000000001
