rank,school,success_score,incoming_score,outgoing_score,net_ratio
84,California,-0.0963612,-0.114271,0.130753,0
85,Northern Illinois,-0.111211,0.0869538,0.0989589,-0.625
86,Troy,-0.114809,-0.0308955,0.0281727,-0.454545
87,Rice,-0.12426,-0.119286,0.250476,0.0526316
88,Syracuse,-0.125059,-0.0526095,0.262516,-0.1
89,Utah,-0.126412,0.00622434,0.336511,-0.142857
90,Michigan,-0.131896,-0.0115621,0.295384,-0.1875
91,UAB,-0.136554,-0.167056,0.176755,0
92,Kansas State,-0.144632,-0.0868316,0.372475,0.0526316
93,Florida,-0.15428,-0.0967385,0.247774,-0.157895
94,USC,-0.168286,-0.0498838,0.370285,-0.16129
95,Kent State,-0.16877,0.0892541,0.33037,-0.571429
96,Utah State,-0.189148,0.0308445,0.560688,-0.181818
97,Oklahoma State,-0.192683,-0.29097,0.302253,0.217391
98,Air Force,-0.2,0,0,-1
99,Navy,-0.2,0,0,-1
100,Mississippi State,-0.205049,-0.154542,0.440743,0.0222222
101,Northwestern,-0.205865,-0.166039,0.49282,0.125
102,South Florida,-0.215834,-0.251474,0.443181,0.214286
103,Michigan State,-0.228479,-0.214129,0.42622,0.0322581
104,NC State,-0.240689,-0.16837,0.521682,0
105,Cincinnati,-0.259732,-0.441216,0.162159,0.047619
106,Army,-0.271913,0,0.23971,-1
107,TCU,-0.282079,-0.225031,0.406482,-0.238095
108,Texas,-0.282542,-0.108592,0.76082,0
109,Minnesota,-0.283474,-0.289891,0.517317,0.0833333
110,Notre Dame,-0.285767,-0.124864,0.74445,0
111,Louisville,-0.287274,-0.260511,0.55673,0.05
112,LSU,-0.297602,-0.065725,0.80839,-0.111111
113,Nebraska,-0.307799,-0.113816,0.569638,-0.4
114,Oklahoma,-0.316385,-0.295502,0.366032,-0.294118
115,Kentucky,-0.3206,-0.515995,0.171638,-0.0555556
116,West Virginia,-0.325153,-0.536201,0.213165,0.0344828
117,Georgia Tech,-0.347357,-0.294293,0.630331,-0.0555556
118,Baylor,-0.371493,-0.606732,0.449314,0.333333
119,Stanford,-0.37786,-0.0859522,0.873856,-0.363636
120,Wisconsin,-0.380007,-0.363499,0.438637,-0.333333
121,Colorado,-0.390255,-0.451332,0.585668,0.0555556
122,Oregon,-0.393244,-0.183876,0.965137,-0.0588235
123,Auburn,-0.39448,-0.542849,0.375096,-0.0526316
124,Arizona State,-0.421597,-0.130251,1.2149,0.04
125,Houston,-0.467126,-0.228365,1.1945,0.027027
126,Missouri,-0.47762,-0.623906,0.510558,-0.0625
127,Alabama,-0.490614,-0.431786,0.594747,-0.481481
128,Delaware,-0.512307,0.570071,2.88003,0.333333
129,Virginia Tech,-0.538944,-0.754172,0.578742,0.0588235
130,Iowa State,-0.590282,-0.653365,0.575635,-0.454545
131,Washington,-0.608146,-0.754047,0.662881,-0.16129
132,Florida State,-0.619317,-0.747412,0.664858,-0.230769
133,Iowa,-0.668503,-0.904055,0.43587,-0.428571
134,Georgia,-0.753139,-1.00667,0.687756,-0.217391
135,Ohio State,-1.14536,-1.80615,0.521901,-0.428571
136,Rutgers,-1.29261,-1.95116,1.0301,-0.04
